Cell,BestBatchIdx,STRFGain,STRFLatency,OutputAdaptation,On__ROnGSYN,Off__ROnGSYN,On__SOnOffGSYN,Off__SOnOffGSYN,SOnOff__ROnGSYN
1,1,0.0324324928224087,0.0115336459130049,0.00700230058282614,0.0402400717139244,0.030055982992053,0.0533925890922546,0.220041811466217,0.0886218249797821
2,9,0.00660872040316463,0.0132040670141578,0.0107920756563544,0.0398753434419632,0.036899384111166,0.257234871387482,0.165748834609985,0.25174868106842
3,4,0.00722707714885473,0.00530075887218118,0.00632309075444937,0.0427265278995037,0.068481981754303,0.206136360764503,0.128764003515244,0.192826300859451
4,4,0.254798650741577,0.0399999991059303,0.000306154455756769,0.000312227581162006,0,0,0,0.16226364672184
5,11,0.00101044704206288,0.0118641806766391,0.00405592424795032,0.0614817626774311,0.0591823533177376,0.190581768751144,0.0664369612932205,0.064129963517189
6,15,0.0153877781704068,0.00707596819847822,0.0118076987564564,0.0421062372624874,0.0716192945837975,0.268934309482574,0.25794044137001,0.265180945396423
7,12,0.0163878928869963,0.00884746294468641,0.00286115054041147,0.0375280119478703,0.00514579378068447,0.349460422992706,0.00563462590798736,0.136252894997597
8,5,0.23277772963047,0.0399999991059303,0.000218773522647098,0,0.000305219844449311,9.87451639957726e-05,0.00141168059781194,0.134620845317841
9,12,0.0160172488540411,0.013942095451057,0.0122998096048832,0.033155269920826,0.0366607196629047,0.230167731642723,0.233013108372688,0.176004126667976
10,15,0.0089209396392107,0.000116777700895909,0.00360322347842157,0,0,0.528909921646118,0.0283425766974688,0.404056489467621
11,15,0.00819628033787012,0.000308230868540704,0.00748861487954855,2.39105251381052e-16,0.0158035848289728,0.0319148190319538,0.379921346902847,0.157727539539337
12,13,0.0356501825153828,0.00930041819810867,0.0118675520643592,0.0430235154926777,0.0415955185890198,0.356724590063095,0.00138891208916903,0.182028248906136
13,12,0.0228848494589329,0.0399999991059303,0.0100444015115499,0.0140967015177011,0.00204630568623543,0.00372738251462579,0,0.0554262064397335
14,2,0.230075657367706,0.0399999991059303,0,0.00144994165748358,0.0215446334332228,0,0.0253749899566174,0.270199835300446
15,3,0.0341605730354786,0.0139127168804407,0.013515236787498,0.0282839629799128,0.0136884385719895,0.280347734689713,0,0.138487979769707
16,15,0.240548774600029,0.0399999991059303,0.000609223730862141,0,0,0,2.97981916919099e-10,0.116024412214756
17,2,0.23929001390934,0.0399999991059303,8.90282462933101e-05,0,0.000449226354248822,1.2699743479061e-08,0,0.203651010990143
18,4,0.00521938037127256,0.010462174192071,0.00829840917140245,0.0504062287509441,0.0366830341517925,0.362359583377838,0.0159839931875467,0.130566820502281
19,6,0.00682709040120244,0.0122664021328092,0.00544471479952335,0.0389714725315571,0.0415691882371902,0.172919914126396,0.380542695522308,0.133706569671631
20,8,0.0192002411931753,0.00170978892128915,0.0105974990874529,0.0764183178544044,0.00511244684457779,0.240865349769592,0.0990049168467522,0.121367357671261
21,4,0.00533026503399014,0.00707629462704062,0.0108791803941131,0.0493038855493069,0.0304077956825495,0.306815505027771,0.00297295022755861,0.170298203825951
22,6,0.000100000463135075,0.000100000244856346,0.00423270650207996,0,0,0.298328429460526,0.36356595158577,0.32266765832901
23,15,0.000100741221103817,0.00151648477185518,0.046385046094656,0.00775964884087443,0.168529585003853,0.154359877109528,0.206567749381065,0.0575717389583588
24,3,0.354850292205811,0.0399999991059303,0.00540790986269712,0,1.35426398628624e-06,1.03880448687477e-09,0,0.15326552093029
25,12,0.00162467162590474,0.000491231214255095,0.000647631357423961,0.0125989131629467,0.0387684404850006,0.289229959249496,0.27273091673851,0.168363571166992
26,5,0.233685731887817,0.0399999991059303,2.76756727544125e-05,0,0,0,0,0.218414202332497
27,10,0.0176369231194258,0.0141713060438633,0.0123138343915343,0.0314980186522007,0.0288727283477783,0.275536954402924,0.0261473674327135,0.267042636871338
28,15,0.0296056661754847,0.0316225327551365,0.0133441891521215,0.00934845861047506,0.00562010146677494,0,0,0.101855978369713
29,5,0.00774816796183586,0.00773999048396945,0.00896308291703463,0.0136154117062688,0,0.689128875732422,0.000998116680420935,0.297226220369339
30,11,0.00252610328607261,0.000100222729088273,0.000604772241786122,0.0318883322179317,0.0804666355252266,0.0042854817584157,0.268800377845764,0.183379262685776
31,11,0.0113178985193372,0.00690604140982032,0.0110346451401711,0.015192630700767,0.0415686815977097,0.0251210778951645,0.251619726419449,0.22047621011734
32,15,0.012676197104156,0.0130804535001516,0.0114588476717472,0.0278618298470974,0.0315691418945789,0.0366781540215015,0.20836628973484,0.192987263202667
33,4,0.020674915984273,0.0167644694447517,0.00523390667513013,0.00518742622807622,0.00964335538446903,0.00570597546175122,0.220002666115761,0.116534247994423
34,10,0.0286908932030201,0.000886930210981518,0.0110018588602543,0.054740346968174,0.0679605826735497,0.191333934664726,0.164833903312683,0.127221554517746
35,10,0.00100106606259942,0.0179425477981567,0.010107358917594,0.044760137796402,0.0254789106547832,0.330081701278687,1.58281922340393,0.0874936357140541
36,11,0.0101747047156096,0.00777692161500454,0.00808147434145212,0.0473342835903168,0.0168124232441187,0.289138168096542,0.0292767584323883,0.132559657096863
37,5,0.221319079399109,0.0399999991059303,0,0.00036926893517375,0.00127339735627174,0,0,0.0877569392323494
38,13,0.01000024843961,0.00616146018728614,0.0112604452297091,0.0378182642161846,0.0365654677152634,0.298365294933319,0.184356898069382,0.143209710717201
39,9,0.359246164560318,0.0283709578216076,0,0.000385236897272989,0,0,3.44938144714035e-09,0.275023967027664
40,3,0.00603635050356388,0.00756372371688485,0.00765659520402551,0.038804292678833,0.0265533588826656,0.348953127861023,0.0608891062438488,0.235756605863571
41,12,0.00414625462144613,0.0113310432061553,0.0127933761104941,0.0356685593724251,0.0123247476294637,0.314983695745468,0.00375572498887777,0.206418365240097
42,15,0.0470895990729332,0.0119485314935446,0.0111332992091775,0.0333542674779892,0.020320625975728,0.227339848875999,0,0.227739244699478
43,9,0.000101743469713256,0.00130138464737684,0.0312140919268131,0.0976942181587219,0.144844532012939,0.190631344914436,0.184031665325165,0.13331101834774
44,8,0.26104810833931,0.0399999991059303,0.00107828876934946,0.00515775708481669,0.00529301399365067,0.00977485068142414,0,0.0653058886528015
45,6,0.265079945325851,0.0399999991059303,0,0.00132828392088413,0,0.00777699891477823,0,0.115461573004723
46,14,0.233279868960381,0.0399999991059303,0.00943194702267647,0.000678429671097547,0,0.00390404113568366,0,0.087788924574852
47,10,0.0203659348189831,0.0155637338757515,0.00263859867118299,0.00850836839526892,0.0223102178424597,0,0.191067487001419,0.247844845056534
48,10,0.285988926887512,0.017497893422842,0.000156909416546114,0,0,2.03765271322709e-09,1.36356981261798e-09,0.204706341028214
49,11,0.304272681474686,0.0399999991059303,0,0,0.000196169305127114,0,0,0.271554350852966
50,13,0.228555113077164,0.0399999991059303,0.000175537323229946,3.16181321977638e-05,0,0,0.0880514979362488,0.201386764645576
51,5,0.384109079837799,0.0263635329902172,0,0,0.000405856204451993,0.00355972838588059,0,0.126468598842621
52,4,0.00970378704369068,0.00776191940531135,0.00518748676404357,0.0375255011022091,0.0162157211452723,0.340105921030045,0.0367200523614883,0.149169430136681
53,14,0.0267889574170113,0.0148019595071673,0.00842262152582407,0.0214586220681667,0.0193305499851704,0.312929660081863,0.0200327392667532,0.150266379117966
54,15,0.352194041013718,0.0279184598475695,0.00982733722776175,0.000333355797920376,0,0,4.23037747054877e-08,0.0817451253533363
55,14,0.237982556223869,0.0399999991059303,0.000412046938436106,0.000154422275954857,0,0.00558001780882478,0,0.0817501991987228
56,14,0.0605536662042141,0.0215132106095552,0.0061576790176332,0.00859873741865158,0.004232132807374,0.21162448823452,0,0.148394897580147
57,11,0.000101324752904475,0.00010021825437434,0.0362801924347878,0.00789843965321779,0.157885536551476,0.186539813876152,0.212465986609459,0.0999005511403084
58,8,0.0217249859124422,0.0224020890891552,0.0140773570165038,0.0215674117207527,0.0119802448898554,0.435183972120285,0,0.163794487714767
59,8,0.448029458522797,0.0250251982361078,0.00891923904418945,0,0,7.46775086213347e-08,1.4994744335084e-09,0.10142920166254
60,13,0.0229371357709169,0.00994973629713058,0.0116093615069985,0.0358830764889717,0.0219228714704514,0.272136837244034,0.168671026825905,0.259696036577225
61,4,0.00733771221712232,0.00564341899007559,0.00692403363063931,0.0568349026143551,0.00809161365032196,0.190775364637375,0.149549394845963,0.203733429312706
62,11,0.252494603395462,0.0399999991059303,0.00471580494195223,0,0,0,0,0.101117245852947
63,14,0.342658400535583,0.0272844731807709,0.000130106694996357,0.00362491421401501,0.000857650476973504,9.602094674932e-10,0,0.306407153606415
64,2,0.260710448026657,0.0399999991059303,0.0110253877937794,0.00360776926390827,0.00339241581968963,4.18692591708236e-09,0,0.23001392185688
65,7,0.00411023804917932,0.00931926537305117,0.00536645157262683,0.045500461012125,0.0399700552225113,0.211009919643402,0.363016068935394,0.160780221223831
66,8,0.00194595812354237,0.000100154305982869,0.10169880092144,0.0108608836308122,0.00530444039031863,0.236233457922935,0.147192135453224,0.164776608347893
67,15,0.00849363394081593,0.0085907606408,0.00640225689858198,0.03101472184062,0.0453808680176735,0.228953689336777,0.200451344251633,0.219299212098122
68,8,0.019526744261384,0.0303918570280075,0.00942496210336685,0.0161837469786406,0.000187835685210302,0.182662695646286,0.283107548952103,0.112186208367348
69,5,0.411849528551102,0.0189681481570005,0.0015869295457378,0,0,1.58187263288312e-09,0,0.108193039894104
70,5,0.0102671543136239,0.00414439104497433,0.0139429485425353,0.00425537163391709,0.0749339759349823,0.00627550249919295,0.146365195512772,0.169745057821274
71,8,0.219703510403633,0.0399999991059303,0.000785532232839614,0,0,0,0,0.203699052333832
72,4,0.000228932214668021,0.000100012272014283,0.00117035117000341,0,0,0.230720743536949,0.234414905309677,0.116902358829975
73,12,0.00492260325700045,0.00186033314093947,0.00322606484405696,0.126402080059052,0.0857272669672966,0.148620024323463,0.14171239733696,0.151635155081749
