Feature,Axis1_r_all,Axis2_r_all,Axis2_r_data,Axis2_r_model
"Mean Rate (Hz)",0.998184253010389,0.011088866690808,-0.00461853108579421,0.0209911985346933
"Peak Rate (1st on/off, Hz)",0.853491367993155,-0.224765876194749,-0.237020697479431,-0.233736259033911
"Peak Latency (1st on/off, ms)",0.0250805952495377,-0.313285364619446,-0.373758144916655,-0.234158096260819
"Onset Latency (1st on/off, 20% peak, ms)",-0.162295777692575,-0.241815502648987,-0.310602743233695,-0.176459906323643
"Half-Max Width (1st on/off, ms)",0.420270739821221,-0.147823426994939,-0.249490805774338,-0.0080284779355452
"Temporal Center (ms)",0.2008343947676,0.0865696580903783,0.059361321949423,0.186367500204037
"Onset Responsiveness",0.21600375362087,-0.181816251488495,-0.255041025958039,-0.078828185035858
"Temporal Sparsity",-0.776694499739627,-0.000759060401093479,0.0923573465621136,-0.142993145363567
"Trial Reliability",0.438918757101256,0.0583784223717958,0.244865032032548,-0.343489378748502
"Offset Responsiveness",0.154113175632234,-0.454925534098702,-0.51179938341923,-0.350321424026237
