Feature,Axis1_r_all,Axis2_r_all,Axis1_r_data,Axis2_r_data,Axis1_r_model,Axis2_r_model
"Mean Rate (Hz)",0.998228777788432,0.00337903550779726,0.998411402678363,-0.0240849381973447,0.998181385578086,0.0366181252050367
"Peak Rate (1st on/off, Hz)",0.853041069913773,-0.212636534065943,0.830616665874934,-0.25544158536153,0.88981213874862,-0.148436127910555
"Peak Latency (1st on/off, ms)",0.0319425553304903,-0.363866266359504,0.0112544609236737,-0.386113329800248,0.0830696427142044,-0.343964697159225
"Onset Latency (1st on/off, 20% peak, ms)",-0.115341715710342,-0.257347489705186,-0.104602041600694,-0.312432025835733,-0.110861180201681,-0.193888611788471
"Half-Max Width (1st on/off, ms)",0.40932718594595,-0.162501776458896,0.326560781550442,-0.249324819163993,0.497372810531948,-0.0314901978890821
"Temporal Center (ms)",0.184524844428043,0.0773317528168729,0.161322800947132,0.0452429798088848,0.275823739741645,0.198180632030277
"Onset Responsiveness",0.207932533573429,-0.170382579979367,0.190467567832497,-0.264129662233386,0.224348070211189,-0.0261305694251587
"Temporal Sparsity",-0.781732888833355,0.0534239413707298,-0.779716592007252,0.12223514796699,-0.795858364366006,-0.0494417539789054
"Trial Reliability",0.439798031425183,0.14532686395864,0.335445519929902,0.259321825474066,0.567589589743973,-0.138626873013203
"Offset Responsiveness",0.183593663139016,-0.440399968878003,0.176945838112747,-0.52742376806377,0.211207262662536,-0.304205902001129
