metric,value
raw_raster_mse,0.00379517464899
raw_raster_rmse,0.061604988832
raw_raster_mae,0.00379517464899
psth_5ms_sse,2450
psth_10ms_sse,3524
psth_20ms_sse,4374
psth_50ms_sse,5368
psth_5ms_pearson_r,0.505280699533
psth_10ms_pearson_r,0.590395556911
psth_20ms_pearson_r,0.707350406856
psth_50ms_pearson_r,0.761901506474
rcorr,0.590395556911
psth_20ms_cosine_similarity,0.77808613226
split_half_data_20ms,0.910074400643
split_half_model_20ms,0.91186865595
noise_corrected_r_10ms,0.616746427625
lifetime_sparseness_data_20ms,0.791464693226
lifetime_sparseness_model_20ms,0.703262394953
lifetime_sparseness_abs_error_20ms,0.088202298273
firing_rate_abs_error_hz,8.95943069458
peak_rate_abs_error_hz,65
peak_latency_abs_error_ms,0
onset_responsiveness_abs_error,0.0930804191987
offset_responsiveness_abs_error,0.177341425773
