metric_a,metric_b,pearson_r,abs_pearson_r,pair_count
lifetime_sparseness_model_20ms,lifetime_sparseness_abs_error_20ms,-1,1,57
mds_manual_fit_distance_to_data,mds_distance_improvement,-1,1,57
psth_10ms_pearson_r,rcorr,1,1,57
raw_raster_mse,raw_raster_mae,1,1,57
psth_10ms_pearson_r,noise_corrected_r_10ms,0.999989304202,0.999989304202,57
rcorr,noise_corrected_r_10ms,0.999989304202,0.999989304202,57
raw_raster_mse,raw_raster_rmse,0.998618539539,0.998618539539,57
raw_raster_rmse,raw_raster_mae,0.998618539539,0.998618539539,57
psth_20ms_pearson_r,psth_20ms_cosine_similarity,0.995198912278,0.995198912278,57
psth_5ms_sse,psth_10ms_sse,0.989958755324,0.989958755324,57
psth_5ms_pearson_r,noise_corrected_r_10ms,0.989805498159,0.989805498159,57
psth_5ms_pearson_r,psth_10ms_pearson_r,0.98960790669,0.98960790669,57
psth_5ms_pearson_r,rcorr,0.98960790669,0.98960790669,57
psth_10ms_pearson_r,psth_20ms_cosine_similarity,0.984794688822,0.984794688822,57
rcorr,psth_20ms_cosine_similarity,0.984794688822,0.984794688822,57
psth_20ms_cosine_similarity,noise_corrected_r_10ms,0.984460329868,0.984460329868,57
psth_20ms_pearson_r,rcorr,0.983733703928,0.983733703928,57
psth_10ms_pearson_r,psth_20ms_pearson_r,0.983733703928,0.983733703928,57
psth_20ms_pearson_r,noise_corrected_r_10ms,0.983359372048,0.983359372048,57
psth_10ms_sse,psth_20ms_sse,0.975386010306,0.975386010306,57
psth_20ms_sse,psth_50ms_sse,0.968760954424,0.968760954424,57
psth_5ms_pearson_r,psth_20ms_cosine_similarity,0.967969069597,0.967969069597,57
psth_5ms_pearson_r,psth_20ms_pearson_r,0.96337105494,0.96337105494,57
mds_manual_fit_distance_to_data,manual_fit_mds_y,-0.951777817285,0.951777817285,57
mds_distance_improvement,manual_fit_mds_y,0.951777817285,0.951777817285,57
psth_5ms_sse,psth_20ms_sse,0.947805440288,0.947805440288,57
psth_20ms_pearson_r,psth_50ms_pearson_r,0.940441953578,0.940441953578,57
psth_10ms_sse,psth_50ms_sse,0.935759527499,0.935759527499,57
